SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0001,P1A1,BHP.m,060623_BHP_CAL0001,Calibration,L1
QN123060613,P1B1,BHP.m,060623_BHP_QN123060613,QC,QC1
QN123060625,P1C1,BHP.m,060623_BHP_QN123060625,QC,QC2
NEG0001,P1D1,BHP.m,060623_BHP_NEG0001,,
2306060105,P1A3,BHP.m,060623_BHP_2306060105,,
2306060085,P1A4,BHP.m,060623_BHP_2306060085,,
2306060128,P1A5,BHP.m,060623_BHP_2306060128,,
2306060073,P1A6,BHP.m,060623_BHP_2306060073,,
2306060037,P1A7,BHP.m,060623_BHP_2306060037,,
2306060140,P1A9,BHP.m,060623_BHP_2306060140,,
2306060084,P1A10,BHP.m,060623_BHP_2306060084,,
2306060129,P1A12,BHP.m,060623_BHP_2306060129,,
2306060119,P1B5,BHP.m,060623_BHP_2306060119,,
2306060070,P1B6,BHP.m,060623_BHP_2306060070,,
2306060031,P1B7,BHP.m,060623_BHP_2306060031,,
2306060114,P1C5,BHP.m,060623_BHP_2306060114,,
2306060065,P1C6,BHP.m,060623_BHP_2306060065,,
2306060029,P1C7,BHP.m,060623_BHP_2306060029,,
2306060121,P1C9,BHP.m,060623_BHP_2306060121,,
2306060115,P1C12,BHP.m,060623_BHP_2306060115,,
2306060075,P1D2,BHP.m,060623_BHP_2306060075,,
2306060123,P1D3,BHP.m,060623_BHP_2306060123,,
2306060107,P1D5,BHP.m,060623_BHP_2306060107,,
2306060061,P1D6,BHP.m,060623_BHP_2306060061,,
2306060026,P1D7,BHP.m,060623_BHP_2306060026,,
2306060067,P1D8,BHP.m,060623_BHP_2306060067,,
2306060113,P1D9,BHP.m,060623_BHP_2306060113,,
2306060060,P1D10,BHP.m,060623_BHP_2306060060,,
2306060109,P1D12,BHP.m,060623_BHP_2306060109,,
2306060004,P1E3,BHP.m,060623_BHP_2306060004,,
2306060050,P1E4,BHP.m,060623_BHP_2306060050,,
2306060104,P1E5,BHP.m,060623_BHP_2306060104,,
2306060057,P1E6,BHP.m,060623_BHP_2306060057,,
2306060024,P1E7,BHP.m,060623_BHP_2306060024,,
2306060063,P1E8,BHP.m,060623_BHP_2306060063,,
2306060108,P1E9,BHP.m,060623_BHP_2306060108,,
2306060090,P1F2,BHP.m,060623_BHP_2306060090,,
2306060127,P1F3,BHP.m,060623_BHP_2306060127,,
2306060041,P1F4,BHP.m,060623_BHP_2306060041,,
2306060053,P1F6,BHP.m,060623_BHP_2306060053,,
2306060021,P1F7,BHP.m,060623_BHP_2306060021,,
2306060034,P1F8,BHP.m,060623_BHP_2306060034,,
