SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
2306060894,P2F8,BHP.m,060623_BHP_2306060894,,
2306060863,P2F9,BHP.m,060623_BHP_2306060863,,
2306060847,P2G2,BHP.m,060623_BHP_2306060847,,
2306060873,P2G5,BHP.m,060623_BHP_2306060873,,
2306060922,P2G7,BHP.m,060623_BHP_2306060922,,
2306060889,P2G8,BHP.m,060623_BHP_2306060889,,
2306060840,P2H1,BHP.m,060623_BHP_2306060840,,
2306060858,P2H2,BHP.m,060623_BHP_2306060858,,
2306050995,P2H3,BHP.m,060623_BHP_2306050995,,
2306060920,P2H7,BHP.m,060623_BHP_2306060920,,
2306060862,P2H10,BHP.m,060623_BHP_2306060862,,
2306060887,P2H11,BHP.m,060623_BHP_2306060887,,
CAL0010POST,P2A1,BHP.m,060623_BHP_CAL0010POST,Calibration,L1
QN1023060613POST,P2B1,BHP.m,060623_BHP_QN1023060613POST,QC,QC1
QN1023060625POST,P2C1,BHP.m,060623_BHP_QN1023060625POST,QC,QC2
NEG0010POST,P2D1,BHP.m,060623_BHP_NEG0010POST,,
