SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0009,P1A1,BHP.m,060623_BHP_CAL0009,Calibration,L1
QN923060613,P1B1,BHP.m,060623_BHP_QN923060613,QC,QC1
QN923060625,P1C1,BHP.m,060623_BHP_QN923060625,QC,QC2
NEG0009,P1D1,BHP.m,060623_BHP_NEG0009,,
2306060780,P1A2,BHP.m,060623_BHP_2306060780,,
2306060721,P1A3,BHP.m,060623_BHP_2306060721,,
2306060723,P1A5,BHP.m,060623_BHP_2306060723,,
2306060804,P1A6,BHP.m,060623_BHP_2306060804,,
2306060838,P1A7,BHP.m,060623_BHP_2306060838,,
2306060809,P1A12,BHP.m,060623_BHP_2306060809,,
2306060774,P1B2,BHP.m,060623_BHP_2306060774,,
2306060716,P1B3,BHP.m,060623_BHP_2306060716,,
2306060831,P1B7,BHP.m,060623_BHP_2306060831,,
2306060810,P1B9,BHP.m,060623_BHP_2306060810,,
2306060796,P1B12,BHP.m,060623_BHP_2306060796,,
2306060762,P1C2,BHP.m,060623_BHP_2306060762,,
2306060713,P1C3,BHP.m,060623_BHP_2306060713,,
2306060767,P1C4,BHP.m,060623_BHP_2306060767,,
2306060710,P1C5,BHP.m,060623_BHP_2306060710,,
2306060820,P1C6,BHP.m,060623_BHP_2306060820,,
2306060813,P1C9,BHP.m,060623_BHP_2306060813,,
2306060753,P1D2,BHP.m,060623_BHP_2306060753,,
2306060706,P1D3,BHP.m,060623_BHP_2306060706,,
2306060758,P1D4,BHP.m,060623_BHP_2306060758,,
2306060822,P1D7,BHP.m,060623_BHP_2306060822,,
2306060829,P1D8,BHP.m,060623_BHP_2306060829,,
2306060837,P1D12,BHP.m,060623_BHP_2306060837,,
2306060748,P1E2,BHP.m,060623_BHP_2306060748,,
2306060703,P1E3,BHP.m,060623_BHP_2306060703,,
2306060819,P1E8,BHP.m,060623_BHP_2306060819,,
2306060805,P1E9,BHP.m,060623_BHP_2306060805,,
2306060832,P1E11,BHP.m,060623_BHP_2306060832,,
2306060794,P1F1,BHP.m,060623_BHP_2306060794,,
2306060695,P1F3,BHP.m,060623_BHP_2306060695,,
2306060808,P1F7,BHP.m,060623_BHP_2306060808,,
2306060731,P1G2,BHP.m,060623_BHP_2306060731,,
2306060828,P1G3,BHP.m,060623_BHP_2306060828,,
2306060788,P1G8,BHP.m,060623_BHP_2306060788,,
2306060823,P1G11,BHP.m,060623_BHP_2306060823,,
2306060782,P1H1,BHP.m,060623_BHP_2306060782,,
2306060726,P1H2,BHP.m,060623_BHP_2306060726,,
2306060728,P1H4,BHP.m,060623_BHP_2306060728,,
2306060793,P1H7,BHP.m,060623_BHP_2306060793,,
2306060772,P1H8,BHP.m,060623_BHP_2306060772,,
2306060834,P1H10,BHP.m,060623_BHP_2306060834,,
2306060817,P1H11,BHP.m,060623_BHP_2306060817,,
2306060807,P1H12,BHP.m,060623_BHP_2306060807,,
CAL0009POST,P1A1,BHP.m,060623_BHP_CAL0009POST,Calibration,L1
QN923060613POST,P1B1,BHP.m,060623_BHP_QN923060613POST,QC,QC1
QN923060625POST,P1C1,BHP.m,060623_BHP_QN923060625POST,QC,QC2
NEG0009POST,P1D1,BHP.m,060623_BHP_NEG0009POST,,
CAL0010,P2A1,BHP.m,060623_BHP_CAL0010,Calibration,L1
QN1023060613,P2B1,BHP.m,060623_BHP_QN1023060613,QC,QC1
QN1023060625,P2C1,BHP.m,060623_BHP_QN1023060625,QC,QC2
NEG0010,P2D1,BHP.m,060623_BHP_NEG0010,,
2306060852,P2A3,BHP.m,060623_BHP_2306060852,,
2306060875,P2A7,BHP.m,060623_BHP_2306060875,,
2306060915,P2A8,BHP.m,060623_BHP_2306060915,,
2306060912,P2A10,BHP.m,060623_BHP_2306060912,,
2306060870,P2A11,BHP.m,060623_BHP_2306060870,,
2306060849,P2B3,BHP.m,060623_BHP_2306060849,,
2306060885,P2B5,BHP.m,060623_BHP_2306060885,,
2306060871,P2B7,BHP.m,060623_BHP_2306060871,,
2306060909,P2B8,BHP.m,060623_BHP_2306060909,,
2306060900,P2B9,BHP.m,060623_BHP_2306060900,,
2306060874,P2B11,BHP.m,060623_BHP_2306060874,,
2306060791,P2C2,BHP.m,060623_BHP_2306060791,,
2306060845,P2C3,BHP.m,060623_BHP_2306060845,,
2306060876,P2C5,BHP.m,060623_BHP_2306060876,,
2306060867,P2C7,BHP.m,060623_BHP_2306060867,,
2306060904,P2C8,BHP.m,060623_BHP_2306060904,,
2306060880,P2C11,BHP.m,060623_BHP_2306060880,,
2306060848,P2D2,BHP.m,060623_BHP_2306060848,,
2306060859,P2D4,BHP.m,060623_BHP_2306060859,,
2306060866,P2D5,BHP.m,060623_BHP_2306060866,,
2306060902,P2D8,BHP.m,060623_BHP_2306060902,,
2306060884,P2D9,BHP.m,060623_BHP_2306060884,,
2306060882,P2D10,BHP.m,060623_BHP_2306060882,,
2306060929,P2D12,BHP.m,060623_BHP_2306060929,,
2306060853,P2E4,BHP.m,060623_BHP_2306060853,,
2306060897,P2E8,BHP.m,060623_BHP_2306060897,,
2306060877,P2E9,BHP.m,060623_BHP_2306060877,,
2306060891,P2E11,BHP.m,060623_BHP_2306060891,,
