SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0007,P1A1,BHP.m,060623_BHP_CAL0007,Calibration,L1
QN723060613,P1B1,BHP.m,060623_BHP_QN723060613,QC,QC1
QN723060625,P1C1,BHP.m,060623_BHP_QN723060625,QC,QC2
NEG0007,P1D1,BHP.m,060623_BHP_NEG0007,,
2306060499,P1A2,BHP.m,060623_BHP_2306060499,,
2306060597,P1A4,BHP.m,060623_BHP_2306060597,,
2306060565,P1A6,BHP.m,060623_BHP_2306060565,,
2306060481,P1A7,BHP.m,060623_BHP_2306060481,,
2306060608,P1A8,BHP.m,060623_BHP_2306060608,,
2306060507,P1B2,BHP.m,060623_BHP_2306060507,,
2306060556,P1B3,BHP.m,060623_BHP_2306060556,,
2306060647,P1B7,BHP.m,060623_BHP_2306060647,,
2306060641,P1B9,BHP.m,060623_BHP_2306060641,,
2306060513,P1C2,BHP.m,060623_BHP_2306060513,,
2306060623,P1C5,BHP.m,060623_BHP_2306060623,,
2306060553,P1C6,BHP.m,060623_BHP_2306060553,,
2306060642,P1C7,BHP.m,060623_BHP_2306060642,,
2306060625,P1C10,BHP.m,060623_BHP_2306060625,,
2306060668,P1C12,BHP.m,060623_BHP_2306060668,,
2306060624,P1D4,BHP.m,060623_BHP_2306060624,,
2306060541,P1D6,BHP.m,060623_BHP_2306060541,,
2306060634,P1D7,BHP.m,060623_BHP_2306060634,,
2306060618,P1D10,BHP.m,060623_BHP_2306060618,,
2306060664,P1D12,BHP.m,060623_BHP_2306060664,,
2306060575,P1E3,BHP.m,060623_BHP_2306060575,,
2306060528,P1E6,BHP.m,060623_BHP_2306060528,,
2306060621,P1E7,BHP.m,060623_BHP_2306060621,,
2306060486,P1E8,BHP.m,060623_BHP_2306060486,,
2306060612,P1E10,BHP.m,060623_BHP_2306060612,,
2306060656,P1E12,BHP.m,060623_BHP_2306060656,,
2306060483,P1F1,BHP.m,060623_BHP_2306060483,,
2306060581,P1F3,BHP.m,060623_BHP_2306060581,,
2306060590,P1F5,BHP.m,060623_BHP_2306060590,,
2306060617,P1F7,BHP.m,060623_BHP_2306060617,,
2306060644,P1F9,BHP.m,060623_BHP_2306060644,,
2306060653,P1F12,BHP.m,060623_BHP_2306060653,,
2306060489,P1G1,BHP.m,060623_BHP_2306060489,,
2306060584,P1G3,BHP.m,060623_BHP_2306060584,,
2306060583,P1G5,BHP.m,060623_BHP_2306060583,,
2306060614,P1G7,BHP.m,060623_BHP_2306060614,,
2306060645,P1G12,BHP.m,060623_BHP_2306060645,,
2306060577,P1H5,BHP.m,060623_BHP_2306060577,,
2306060494,P1H6,BHP.m,060623_BHP_2306060494,,
