SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
2306060610,P1H7,BHP.m,060623_BHP_2306060610,,
2306060650,P1H10,BHP.m,060623_BHP_2306060650,,
2306060637,P1H12,BHP.m,060623_BHP_2306060637,,
CAL0007POST,P1A1,BHP.m,060623_BHP_CAL0007POST,Calibration,L1
QN723060613POST,P1B1,BHP.m,060623_BHP_QN723060613POST,QC,QC1
QN723060625POST,P1C1,BHP.m,060623_BHP_QN723060625POST,QC,QC2
NEG0007POST,P1D1,BHP.m,060623_BHP_NEG0007POST,,
CAL0008,P2A1,BHP.m,060623_BHP_CAL0008,Calibration,L1
QN823060613,P2B1,BHP.m,060623_BHP_QN823060613,QC,QC1
QN823060625,P2C1,BHP.m,060623_BHP_QN823060625,QC,QC2
NEG0008,P2D1,BHP.m,060623_BHP_NEG0008,,
2306060626,P2A2,BHP.m,060623_BHP_2306060626,,
2306060662,P2A3,BHP.m,060623_BHP_2306060662,,
2306060667,P2A4,BHP.m,060623_BHP_2306060667,,
2306060744,P2A7,BHP.m,060623_BHP_2306060744,,
2306060766,P2A10,BHP.m,060623_BHP_2306060766,,
2306060724,P2A11,BHP.m,060623_BHP_2306060724,,
2306060649,P2B3,BHP.m,060623_BHP_2306060649,,
2306060687,P2B4,BHP.m,060623_BHP_2306060687,,
2306060727,P2B7,BHP.m,060623_BHP_2306060727,,
2306060763,P2B10,BHP.m,060623_BHP_2306060763,,
2306060719,P2B11,BHP.m,060623_BHP_2306060719,,
2306060680,P2C4,BHP.m,060623_BHP_2306060680,,
2306060722,P2C7,BHP.m,060623_BHP_2306060722,,
2306060708,P2C8,BHP.m,060623_BHP_2306060708,,
2306060756,P2C10,BHP.m,060623_BHP_2306060756,,
2306060746,P2C12,BHP.m,060623_BHP_2306060746,,
2306060466,P2D3,BHP.m,060623_BHP_2306060466,,
2306060673,P2D4,BHP.m,060623_BHP_2306060673,,
2306060692,P2D5,BHP.m,060623_BHP_2306060692,,
2306060603,P2D6,BHP.m,060623_BHP_2306060603,,
2306060709,P2D7,BHP.m,060623_BHP_2306060709,,
2306060759,P2D8,BHP.m,060623_BHP_2306060759,,
2306060761,P2D9,BHP.m,060623_BHP_2306060761,,
2306060696,P2E3,BHP.m,060623_BHP_2306060696,,
2306060666,P2E4,BHP.m,060623_BHP_2306060666,,
2306060635,P2E5,BHP.m,060623_BHP_2306060635,,
2306060739,P2E8,BHP.m,060623_BHP_2306060739,,
2306060741,P2E9,BHP.m,060623_BHP_2306060741,,
2306060690,P2F1,BHP.m,060623_BHP_2306060690,,
2306060660,P2F4,BHP.m,060623_BHP_2306060660,,
2306060707,P2F9,BHP.m,060623_BHP_2306060707,,
2306060682,P2G1,BHP.m,060623_BHP_2306060682,,
2306060654,P2G4,BHP.m,060623_BHP_2306060654,,
2306060629,P2G6,BHP.m,060623_BHP_2306060629,,
2306060777,P2G9,BHP.m,060623_BHP_2306060777,,
2306060705,P2G12,BHP.m,060623_BHP_2306060705,,
2306060674,P2H1,BHP.m,060623_BHP_2306060674,,
2306060676,P2H2,BHP.m,060623_BHP_2306060676,,
2306060648,P2H6,BHP.m,060623_BHP_2306060648,,
2306060702,P2H8,BHP.m,060623_BHP_2306060702,,
2306060770,P2H9,BHP.m,060623_BHP_2306060770,,
2306060693,P2H12,BHP.m,060623_BHP_2306060693,,
CAL0008POST,P2A1,BHP.m,060623_BHP_CAL0008POST,Calibration,L1
QN823060613POST,P2B1,BHP.m,060623_BHP_QN823060613POST,QC,QC1
QN823060625POST,P2C1,BHP.m,060623_BHP_QN823060625POST,QC,QC2
NEG0008POST,P2D1,BHP.m,060623_BHP_NEG0008POST,,
