SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0005,P1A1,BHP.m,060623_BHP_CAL0005,Calibration,L1
QN523060613,P1B1,BHP.m,060623_BHP_QN523060613,QC,QC1
QN523060625,P1C1,BHP.m,060623_BHP_QN523060625,QC,QC2
NEG0005,P1D1,BHP.m,060623_BHP_NEG0005,,
2306060399,P1A3,BHP.m,060623_BHP_2306060399,,
2306060453,P1A5,BHP.m,060623_BHP_2306060453,,
2306060353,P1A7,BHP.m,060623_BHP_2306060353,,
2306060487,P1A9,BHP.m,060623_BHP_2306060487,,
2306060451,P1A10,BHP.m,060623_BHP_2306060451,,
2306060428,P1B4,BHP.m,060623_BHP_2306060428,,
2306060449,P1B5,BHP.m,060623_BHP_2306060449,,
2306060296,P1B7,BHP.m,060623_BHP_2306060296,,
2306060474,P1B9,BHP.m,060623_BHP_2306060474,,
2306060424,P1C2,BHP.m,060623_BHP_2306060424,,
2306060422,P1C4,BHP.m,060623_BHP_2306060422,,
2306060442,P1C5,BHP.m,060623_BHP_2306060442,,
2306060450,P1C6,BHP.m,060623_BHP_2306060450,,
2306060421,P1C10,BHP.m,060623_BHP_2306060421,,
2306060149,P1C12,BHP.m,060623_BHP_2306060149,,
2306060415,P1D4,BHP.m,060623_BHP_2306060415,,
2306060435,P1D5,BHP.m,060623_BHP_2306060435,,
2306060438,P1D6,BHP.m,060623_BHP_2306060438,,
2306060480,P1D8,BHP.m,060623_BHP_2306060480,,
2306060444,P1D9,BHP.m,060623_BHP_2306060444,,
2306060342,P1D12,BHP.m,060623_BHP_2306060342,,
2306060439,P1E2,BHP.m,060623_BHP_2306060439,,
2306060473,P1E3,BHP.m,060623_BHP_2306060473,,
2306060409,P1E4,BHP.m,060623_BHP_2306060409,,
2306060427,P1E6,BHP.m,060623_BHP_2306060427,,
2306060333,P1E7,BHP.m,060623_BHP_2306060333,,
2306060471,P1E8,BHP.m,060623_BHP_2306060471,,
2306060433,P1E9,BHP.m,060623_BHP_2306060433,,
2306060216,P1E11,BHP.m,060623_BHP_2306060216,,
2306060133,P1E12,BHP.m,060623_BHP_2306060133,,
