SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
2306060463,P1F1,BHP.m,060623_BHP_2306060463,,
2306060465,P1F3,BHP.m,060623_BHP_2306060465,,
2306060468,P1F4,BHP.m,060623_BHP_2306060468,,
2306060416,P1F6,BHP.m,060623_BHP_2306060416,,
2306060462,P1F8,BHP.m,060623_BHP_2306060462,,
2306060122,P1F12,BHP.m,060623_BHP_2306060122,,
2306060417,P1G2,BHP.m,060623_BHP_2306060417,,
2306060456,P1G3,BHP.m,060623_BHP_2306060456,,
2306060376,P1G6,BHP.m,060623_BHP_2306060376,,
2306060454,P1G8,BHP.m,060623_BHP_2306060454,,
2306060408,P1H2,BHP.m,060623_BHP_2306060408,,
2306060447,P1H3,BHP.m,060623_BHP_2306060447,,
2306060366,P1H6,BHP.m,060623_BHP_2306060366,,
2306060434,P1H8,BHP.m,060623_BHP_2306060434,,
CAL0005POST,P1A1,BHP.m,060623_BHP_CAL0005POST,Calibration,L1
QN523060613POST,P1B1,BHP.m,060623_BHP_QN523060613POST,QC,QC1
QN523060625POST,P1C1,BHP.m,060623_BHP_QN523060625POST,QC,QC2
NEG0005POST,P1D1,BHP.m,060623_BHP_NEG0005POST,,
CAL0006,P2A1,BHP.m,060623_BHP_CAL0006,Calibration,L1
QN623060613,P2B1,BHP.m,060623_BHP_QN623060613,QC,QC1
QN623060625,P2C1,BHP.m,060623_BHP_QN623060625,QC,QC2
NEG0006,P2D1,BHP.m,060623_BHP_NEG0006,,
2306060554,P2A2,BHP.m,060623_BHP_2306060554,,
2306060488,P2A5,BHP.m,060623_BHP_2306060488,,
2306060504,P2A6,BHP.m,060623_BHP_2306060504,,
2306060557,P2A7,BHP.m,060623_BHP_2306060557,,
2306060347,P2A9,BHP.m,060623_BHP_2306060347,,
2306060420,P2A10,BHP.m,060623_BHP_2306060420,,
2306060562,P2A11,BHP.m,060623_BHP_2306060562,,
2306060586,P2A12,BHP.m,060623_BHP_2306060586,,
2306060534,P2B2,BHP.m,060623_BHP_2306060534,,
2306060595,P2B3,BHP.m,060623_BHP_2306060595,,
2306060482,P2B4,BHP.m,060623_BHP_2306060482,,
2306060589,P2B6,BHP.m,060623_BHP_2306060589,,
2306060552,P2B7,BHP.m,060623_BHP_2306060552,,
2306060498,P2B8,BHP.m,060623_BHP_2306060498,,
2306060356,P2B9,BHP.m,060623_BHP_2306060356,,
2306060492,P2B10,BHP.m,060623_BHP_2306060492,,
2306060588,P2C3,BHP.m,060623_BHP_2306060588,,
2306060600,P2C4,BHP.m,060623_BHP_2306060600,,
2306060493,P2C8,BHP.m,060623_BHP_2306060493,,
2306060369,P2C9,BHP.m,060623_BHP_2306060369,,
2306060502,P2C10,BHP.m,060623_BHP_2306060502,,
2306060579,P2D3,BHP.m,060623_BHP_2306060579,,
2306060547,P2D4,BHP.m,060623_BHP_2306060547,,
2306060538,P2D7,BHP.m,060623_BHP_2306060538,,
2306060484,P2D8,BHP.m,060623_BHP_2306060484,,
2306060378,P2D9,BHP.m,060623_BHP_2306060378,,
2306060515,P2D10,BHP.m,060623_BHP_2306060515,,
2306060568,P2E3,BHP.m,060623_BHP_2306060568,,
2306060540,P2E4,BHP.m,060623_BHP_2306060540,,
2306060530,P2E7,BHP.m,060623_BHP_2306060530,,
2306060479,P2E8,BHP.m,060623_BHP_2306060479,,
2306060387,P2E9,BHP.m,060623_BHP_2306060387,,
2306060521,P2E10,BHP.m,060623_BHP_2306060521,,
2306060495,P2F2,BHP.m,060623_BHP_2306060495,,
2306060524,P2F4,BHP.m,060623_BHP_2306060524,,
2306060561,P2F5,BHP.m,060623_BHP_2306060561,,
2306060523,P2F7,BHP.m,060623_BHP_2306060523,,
2306060395,P2F9,BHP.m,060623_BHP_2306060395,,
2306060537,P2F10,BHP.m,060623_BHP_2306060537,,
2306060576,P2G1,BHP.m,060623_BHP_2306060576,,
2306060485,P2G2,BHP.m,060623_BHP_2306060485,,
2306060525,P2G3,BHP.m,060623_BHP_2306060525,,
2306060518,P2G4,BHP.m,060623_BHP_2306060518,,
2306060607,P2G6,BHP.m,060623_BHP_2306060607,,
2306060403,P2G9,BHP.m,060623_BHP_2306060403,,
2306060545,P2G10,BHP.m,060623_BHP_2306060545,,
2306060551,P2G12,BHP.m,060623_BHP_2306060551,,
2306060570,P2H1,BHP.m,060623_BHP_2306060570,,
2306060605,P2H6,BHP.m,060623_BHP_2306060605,,
2306060506,P2H8,BHP.m,060623_BHP_2306060506,,
2306060412,P2H9,BHP.m,060623_BHP_2306060412,,
2306060555,P2H10,BHP.m,060623_BHP_2306060555,,
CAL0006POST,P2A1,BHP.m,060623_BHP_CAL0006POST,Calibration,L1
QN623060613POST,P2B1,BHP.m,060623_BHP_QN623060613POST,QC,QC1
QN623060625POST,P2C1,BHP.m,060623_BHP_QN623060625POST,QC,QC2
NEG0006POST,P2D1,BHP.m,060623_BHP_NEG0006POST,,
