SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0003,P1A1,BHP.m,060623_BHP_CAL0003,Calibration,L1
QN323060613,P1B1,BHP.m,060623_BHP_QN323060613,QC,QC1
QN323060625,P1C1,BHP.m,060623_BHP_QN323060625,QC,QC2
NEG0003,P1D1,BHP.m,060623_BHP_NEG0003,,
2306060237,P1A2,BHP.m,060623_BHP_2306060237,,
2306060224,P1A3,BHP.m,060623_BHP_2306060224,,
2306060279,P1A6,BHP.m,060623_BHP_2306060279,,
2306060220,P1A10,BHP.m,060623_BHP_2306060220,,
2306060267,P1A11,BHP.m,060623_BHP_2306060267,,
2306060294,P1A12,BHP.m,060623_BHP_2306060294,,
2306060228,P1B2,BHP.m,060623_BHP_2306060228,,
2306060218,P1B3,BHP.m,060623_BHP_2306060218,,
2306060253,P1B4,BHP.m,060623_BHP_2306060253,,
2306060252,P1B5,BHP.m,060623_BHP_2306060252,,
2306060211,P1B7,BHP.m,060623_BHP_2306060211,,
2306060227,P1B10,BHP.m,060623_BHP_2306060227,,
2306060270,P1B11,BHP.m,060623_BHP_2306060270,,
2306060285,P1B12,BHP.m,060623_BHP_2306060285,,
2306060209,P1C2,BHP.m,060623_BHP_2306060209,,
2306060242,P1C5,BHP.m,060623_BHP_2306060242,,
2306060269,P1C6,BHP.m,060623_BHP_2306060269,,
2306060161,P1C8,BHP.m,060623_BHP_2306060161,,
2306060186,P1C9,BHP.m,060623_BHP_2306060186,,
2306060232,P1C10,BHP.m,060623_BHP_2306060232,,
2306060277,P1C11,BHP.m,060623_BHP_2306060277,,
2306060278,P1C12,BHP.m,060623_BHP_2306060278,,
2306060262,P1D3,BHP.m,060623_BHP_2306060262,,
2306060263,P1D6,BHP.m,060623_BHP_2306060263,,
2306060152,P1D8,BHP.m,060623_BHP_2306060152,,
2306060191,P1D9,BHP.m,060623_BHP_2306060191,,
2306060240,P1D10,BHP.m,060623_BHP_2306060240,,
2306060281,P1D11,BHP.m,060623_BHP_2306060281,,
2306060259,P1E2,BHP.m,060623_BHP_2306060259,,
2306060248,P1E3,BHP.m,060623_BHP_2306060248,,
2306060225,P1E5,BHP.m,060623_BHP_2306060225,,
2306060147,P1E8,BHP.m,060623_BHP_2306060147,,
2306060197,P1E9,BHP.m,060623_BHP_2306060197,,
2306060247,P1E10,BHP.m,060623_BHP_2306060247,,
2306060289,P1E11,BHP.m,060623_BHP_2306060289,,
2306060293,P1E12,BHP.m,060623_BHP_2306060293,,
2306060265,P1F1,BHP.m,060623_BHP_2306060265,,
2306060251,P1F2,BHP.m,060623_BHP_2306060251,,
2306060231,P1F3,BHP.m,060623_BHP_2306060231,,
2306060222,P1F7,BHP.m,060623_BHP_2306060222,,
2306060143,P1F8,BHP.m,060623_BHP_2306060143,,
2306060203,P1F9,BHP.m,060623_BHP_2306060203,,
2306060250,P1F10,BHP.m,060623_BHP_2306060250,,
2306060282,P1F12,BHP.m,060623_BHP_2306060282,,
2306060256,P1G1,BHP.m,060623_BHP_2306060256,,
2306060243,P1G2,BHP.m,060623_BHP_2306060243,,
2306060210,P1G3,BHP.m,060623_BHP_2306060210,,
2306060212,P1G5,BHP.m,060623_BHP_2306060212,,
2306060238,P1G6,BHP.m,060623_BHP_2306060238,,
2306060258,P1G10,BHP.m,060623_BHP_2306060258,,
2306060274,P1G12,BHP.m,060623_BHP_2306060274,,
2306060246,P1H1,BHP.m,060623_BHP_2306060246,,
2306060235,P1H2,BHP.m,060623_BHP_2306060235,,
2306060239,P1H8,BHP.m,060623_BHP_2306060239,,
2306060214,P1H9,BHP.m,060623_BHP_2306060214,,
2306060260,P1H10,BHP.m,060623_BHP_2306060260,,
CAL0003POST,P1A1,BHP.m,060623_BHP_CAL0003POST,Calibration,L1
QN323060613POST,P1B1,BHP.m,060623_BHP_QN323060613POST,QC,QC1
QN323060625POST,P1C1,BHP.m,060623_BHP_QN323060625POST,QC,QC2
NEG0003POST,P1D1,BHP.m,060623_BHP_NEG0003POST,,
CAL0004,P2A1,BHP.m,060623_BHP_CAL0004,Calibration,L1
QN423060613,P2B1,BHP.m,060623_BHP_QN423060613,QC,QC1
QN423060625,P2C1,BHP.m,060623_BHP_QN423060625,QC,QC2
NEG0004,P2D1,BHP.m,060623_BHP_NEG0004,,
2306060291,P2A3,BHP.m,060623_BHP_2306060291,,
2306060304,P2A4,BHP.m,060623_BHP_2306060304,,
2306060362,P2A5,BHP.m,060623_BHP_2306060362,,
2306060351,P2A7,BHP.m,060623_BHP_2306060351,,
2306060404,P2A9,BHP.m,060623_BHP_2306060404,,
2306060180,P2A12,BHP.m,060623_BHP_2306060180,,
2306060311,P2B2,BHP.m,060623_BHP_2306060311,,
2306060283,P2B3,BHP.m,060623_BHP_2306060283,,
2306060298,P2B4,BHP.m,060623_BHP_2306060298,,
2306060305,P2B6,BHP.m,060623_BHP_2306060305,,
2306060340,P2B7,BHP.m,060623_BHP_2306060340,,
2306060339,P2B8,BHP.m,060623_BHP_2306060339,,
2306060390,P2B11,BHP.m,060623_BHP_2306060390,,
2306060375,P2B12,BHP.m,060623_BHP_2306060375,,
2306060276,P2C3,BHP.m,060623_BHP_2306060276,,
2306060295,P2C4,BHP.m,060623_BHP_2306060295,,
2306060327,P2C5,BHP.m,060623_BHP_2306060327,,
2306060300,P2C6,BHP.m,060623_BHP_2306060300,,
2306060329,P2C7,BHP.m,060623_BHP_2306060329,,
2306060335,P2C8,BHP.m,060623_BHP_2306060335,,
2306060288,P2C10,BHP.m,060623_BHP_2306060288,,
2306060275,P2C12,BHP.m,060623_BHP_2306060275,,
2306060292,P2D2,BHP.m,060623_BHP_2306060292,,
2306060386,P2D5,BHP.m,060623_BHP_2306060386,,
2306060392,P2D6,BHP.m,060623_BHP_2306060392,,
2306060394,P2D7,BHP.m,060623_BHP_2306060394,,
2306060280,P2D10,BHP.m,060623_BHP_2306060280,,
2306060286,P2E2,BHP.m,060623_BHP_2306060286,,
2306060323,P2E3,BHP.m,060623_BHP_2306060323,,
2306060370,P2E5,BHP.m,060623_BHP_2306060370,,
2306060385,P2E6,BHP.m,060623_BHP_2306060385,,
2306060334,P2E8,BHP.m,060623_BHP_2306060334,,
2306060400,P2E10,BHP.m,060623_BHP_2306060400,,
2306060095,P2E12,BHP.m,060623_BHP_2306060095,,
2306060321,P2F3,BHP.m,060623_BHP_2306060321,,
2306060377,P2F6,BHP.m,060623_BHP_2306060377,,
2306060372,P2F7,BHP.m,060623_BHP_2306060372,,
2306060086,P2F12,BHP.m,060623_BHP_2306060086,,
2306060314,P2G3,BHP.m,060623_BHP_2306060314,,
2306060373,P2G6,BHP.m,060623_BHP_2306060373,,
2306060364,P2G7,BHP.m,060623_BHP_2306060364,,
2306060406,P2G8,BHP.m,060623_BHP_2306060406,,
2306060368,P2G10,BHP.m,060623_BHP_2306060368,,
2306060155,P2G12,BHP.m,060623_BHP_2306060155,,
2306060303,P2H1,BHP.m,060623_BHP_2306060303,,
2306060302,P2H2,BHP.m,060623_BHP_2306060302,,
2306060310,P2H3,BHP.m,060623_BHP_2306060310,,
2306060357,P2H7,BHP.m,060623_BHP_2306060357,,
2306060396,P2H8,BHP.m,060623_BHP_2306060396,,
2306060324,P2H9,BHP.m,060623_BHP_2306060324,,
2306060330,P2H10,BHP.m,060623_BHP_2306060330,,
CAL0004POST,P2A1,BHP.m,060623_BHP_CAL0004POST,Calibration,L1
QN423060613POST,P2B1,BHP.m,060623_BHP_QN423060613POST,QC,QC1
QN423060625POST,P2C1,BHP.m,060623_BHP_QN423060625POST,QC,QC2
NEG0004POST,P2D1,BHP.m,060623_BHP_NEG0004POST,,
